,Unnamed: 0,id,image_id,bbox,utf8_string,points,area
430678,430678,c1f502216a95f52b_207,c1f502216a95f52b,"[274.04, 377.32, 30.5, 10.8]",regarded,"[274.04, 377.42, 304.34, 377.32, 304.54, 388.02, 274.04, 388.12]",329.4
30545,30545,c39ff8974c2649c8_38,c39ff8974c2649c8,"[174.43, 416.47, 50.26, 38.64]",.,"[174.43, 448.73, 196.19, 416.47, 224.69, 419.85, 203.31, 455.11]",1942.05
165453,165453,fbcda77c866d4f7c_276,fbcda77c866d4f7c,"[189.93, 626.71, 45.8, 16.6]",Stylists,"[190.03, 626.71, 235.73, 626.81, 235.73, 643.31, 189.93, 643.01]",760.28
289402,289402,12b08fa5fbfa3a1a_389,12b08fa5fbfa3a1a,"[590.44, 273.75, 14.09, 9.68]",.,"[590.44, 274.28, 604.35, 273.75, 604.53, 282.73, 590.44, 283.43]",136.39
596370,596370,fa800359d8857579_12,fa800359d8857579,"[786.53, 85.54, 48.02, 20.53]",.,"[787.32, 86.17, 832.34, 85.54, 834.55, 105.6, 786.53, 106.07]",985.85
327285,327285,1cf0775524f0994b_3,1cf0775524f0994b,"[14.7, 82.99, 25.73, 11.94]",.,"[14.7, 82.99, 36.39, 85.85, 40.43, 94.93, 17.73, 92.57]",307.22
239660,239660,4521cc4b7d21059a_51,4521cc4b7d21059a,"[638.91, 575.18, 168.99, 50.55]",GIND,"[638.91, 576.98, 804.31, 575.18, 807.9, 620.65, 643.4, 625.73]",8542.44
597210,597210,8d22c165797ca546_6,8d22c165797ca546,"[450.34, 415.16, 83.88, 33.74]",mins,"[450.65, 420.52, 531.7, 415.16, 534.22, 442.91, 450.34, 448.9]",2830.11
70221,70221,1aaa9f5578ab6cd9_11,1aaa9f5578ab6cd9,"[636.64, 12.46, 75.92, 76.31]",INAUGURAL,"[647.18, 12.46, 712.56, 79.4, 702.8, 88.77, 636.64, 21.83]",5793.46
125435,125435,5c3be2cc8d73580c_66,5c3be2cc8d73580c,"[265.72, 721.08, 33.19, 21.47]",free,"[267.41, 721.08, 298.91, 723.42, 298.26, 742.55, 265.72, 740.73]",712.59
308743,308743,4af6a299c1ee0b1f_53,4af6a299c1ee0b1f,"[571.37, 374.64, 13.03, 3.15]",.,"[571.37, 374.64, 584.4, 374.85, 584.4, 377.37, 571.58, 377.79]",41.04
412186,412186,2e43b842a5b342f1_52,2e43b842a5b342f1,"[617.02, 276.82, 50.17, 20.01]",.,"[617.02, 281.07, 663.55, 276.82, 667.19, 290.62, 620.5, 296.83]",1003.9
784977,784977,95fc9af5757407db_49,95fc9af5757407db,"[5.36, 331.89, 113.0, 52.08]",Pallavicini's,"[11.89, 331.89, 118.36, 363.6, 114.14, 383.97, 5.36, 351.49]",5885.04
568558,568558,113837d237e6f9d7_232,113837d237e6f9d7,"[834.58, 195.2, 25.3, 6.1]",.,"[834.58, 195.2, 859.78, 195.2, 859.88, 201.3, 834.78, 201.0]",154.33
208060,208060,a2467d078eb10f44_21,a2467d078eb10f44,"[418.21, 300.61, 9.57, 7.23]",.,"[421.72, 300.61, 427.78, 303.15, 424.85, 307.84, 418.21, 305.69]",69.19
9168,9168,08433bc2e52fad22_39,08433bc2e52fad22,"[661.02, 568.5, 12.31, 13.17]",C.Y.,"[661.02, 570.22, 672.19, 568.5, 673.33, 577.95, 662.17, 581.67]",162.12
9328,9328,640dae20e17a25c6_5,640dae20e17a25c6,"[198.75, 618.69, 141.52, 61.34]",24.,"[198.75, 620.62, 338.34, 618.69, 340.27, 677.14, 198.75, 680.03]",8680.84
920111,920111,54ba359cd0a63fe8_29,54ba359cd0a63fe8,"[441.95, 509.35, 15.46, 28.12]",THE,"[442.65, 537.12, 441.95, 510.4, 457.06, 509.35, 457.41, 537.47]",434.74
1025722,1025722,a2c19d9ef919acaf_32,a2c19d9ef919acaf,"[284.83, 590.91, 7.94, 27.72]",.,"[290.89, 590.91, 292.77, 616.75, 286.56, 618.63, 284.83, 592.5]",220.1
476522,476522,0561157a053ee700_61,0561157a053ee700,"[616.97, 247.66, 12.87, 17.0]",tn,"[616.97, 255.47, 627.2, 247.66, 629.84, 255.47, 619.5, 264.66]",218.79
939182,939182,04bc0bbb14f26bab_53,04bc0bbb14f26bab,"[462.12, 147.79, 14.77, 14.28]",],"[462.12, 151.81, 467.86, 147.79, 476.89, 158.16, 472.01, 162.07]",210.92
124181,124181,a13ce9f8bd72a13c_24,a13ce9f8bd72a13c,"[717.33, 101.38, 40.63, 12.72]",ORHAN,"[717.47, 102.21, 757.96, 101.38, 757.82, 112.44, 717.33, 114.1]",516.81
127209,127209,8b63daf3effe9a86_23,8b63daf3effe9a86,"[902.52, 163.56, 63.87, 61.57]",US.,"[902.52, 164.93, 965.93, 163.56, 966.39, 225.13, 905.28, 224.67]",3932.48
832721,832721,c2e85690ceace812_59,c2e85690ceace812,"[626.4, 273.13, 17.14, 9.42]",.,"[626.4, 274.5, 642.17, 273.13, 643.54, 281.35, 626.74, 282.55]",161.46
183936,183936,e69a6fc9c6dc1e84_115,e69a6fc9c6dc1e84,"[396.85, 397.77, 61.84, 20.31]","brought,","[397.0, 399.74, 457.63, 397.77, 458.69, 415.66, 396.85, 418.08]",1255.97
764539,764539,3d75d46ba25035c5_2,3d75d46ba25035c5,"[419.23, 203.03, 36.03, 12.27]",Edgware,"[420.0, 204.31, 455.26, 203.03, 454.75, 214.53, 419.23, 215.3]",442.09
1040177,1040177,28cb99c9c81a772c_8,28cb99c9c81a772c,"[315.42, 962.77, 30.78, 38.14]",ML),"[319.1, 962.77, 346.2, 978.05, 339.66, 1000.91, 315.42, 982.87]",1173.95
749479,749479,3ee09328da8c0014_6,3ee09328da8c0014,"[571.86, 433.62, 48.82, 34.18]",|,"[614.58, 433.62, 620.68, 443.39, 577.36, 467.8, 571.86, 457.42]",1668.67
475771,475771,e74876aa16dfedc4_129,e74876aa16dfedc4,"[346.29, 322.77, 26.63, 14.4]",the,"[347.07, 322.77, 372.92, 323.23, 371.07, 337.17, 346.29, 335.93]",383.47
1020216,1020216,9b3c29615cdeecfe_220,9b3c29615cdeecfe,"[452.0, 222.73, 4.96, 5.72]",.,"[452.0, 223.31, 456.96, 222.73, 456.96, 227.69, 452.96, 228.45]",28.37
184045,184045,e69a6fc9c6dc1e84_224,e69a6fc9c6dc1e84,"[195.65, 643.26, 39.3, 17.0]",1722.,"[195.65, 644.66, 234.95, 643.26, 234.65, 660.16, 195.75, 660.26]",668.1
252537,252537,387ba1616155df34_99,387ba1616155df34,"[509.09, 844.27, 29.3, 9.72]",FRESH,"[509.58, 844.76, 537.9, 844.27, 538.39, 853.99, 509.09, 853.5]",284.8
770371,770371,c128bc4ecca28d9c_32,c128bc4ecca28d9c,"[632.44, 157.8, 100.37, 78.55]",Voices,"[632.44, 157.8, 732.81, 159.48, 732.14, 236.35, 635.13, 236.35]",7884.06
547030,547030,54c4b9d42a43e576_3,54c4b9d42a43e576,"[219.21, 667.14, 60.91, 50.56]",Z,"[219.21, 667.14, 278.05, 667.97, 280.12, 717.28, 219.62, 717.7]",3079.61
588084,588084,f4f60ff32e21ca0b_53,f4f60ff32e21ca0b,"[204.01, 494.97, 11.79, 11.04]",E,"[204.01, 494.97, 215.36, 495.56, 215.8, 505.71, 204.61, 506.01]",130.16
9229,9229,08433bc2e52fad22_100,08433bc2e52fad22,"[277.02, 164.09, 20.32, 6.01]",A&D,"[277.02, 164.09, 296.91, 164.23, 297.34, 170.1, 277.02, 169.82]",122.12
655949,655949,f953a81e05866a22_452,f953a81e05866a22,"[484.83, 100.42, 54.5, 13.8]",PROMOTIONS,"[485.43, 100.42, 539.33, 105.82, 539.03, 114.22, 484.83, 109.22]",752.1
148953,148953,6fca65047a3dbd46_18,6fca65047a3dbd46,"[226.87, 666.19, 27.4, 13.4]",BEER.,"[226.87, 672.99, 251.57, 666.19, 254.27, 671.49, 227.37, 679.59]",367.16
930053,930053,13b30e89ac221ee2_23,13b30e89ac221ee2,"[533.86, 120.53, 19.1, 9.9]",RED,"[534.06, 120.53, 552.96, 121.23, 552.96, 130.43, 533.86, 130.23]",189.09
859061,859061,06a7f1d5b80884dd_50,06a7f1d5b80884dd,"[277.3, 470.67, 20.12, 7.69]",Tracat,"[277.3, 470.78, 297.2, 470.67, 297.42, 478.13, 278.2, 478.36]",154.72
254329,254329,d909cebc31a24d36_23,d909cebc31a24d36,"[432.82, 147.92, 29.25, 18.49]",off,"[432.82, 155.34, 452.98, 147.92, 462.07, 157.77, 442.97, 166.41]",540.83
728783,728783,ec3e0386dbda2b7e_293,ec3e0386dbda2b7e,"[889.49, 360.37, 22.83, 10.42]",while,"[889.76, 360.37, 912.19, 360.37, 912.32, 370.13, 889.49, 370.79]",237.89
452561,452561,488f7d33ed1dbbb9_314,488f7d33ed1dbbb9,"[628.53, 521.14, 6.9, 2.2]",.,"[628.53, 521.24, 635.23, 521.14, 635.43, 523.24, 628.73, 523.34]",15.18
863931,863931,c3b2f139421e3054_357,c3b2f139421e3054,"[546.0, 497.08, 18.31, 20.05]",only,"[554.06, 497.08, 564.31, 511.47, 555.59, 517.13, 546.0, 501.22]",367.12
1015276,1015276,2e4829808cd97688_97,2e4829808cd97688,"[164.13, 481.28, 32.13, 12.92]",FOURPURE,"[164.5, 481.65, 195.65, 481.28, 196.26, 493.47, 164.13, 494.2]",415.12
52211,52211,7c617208a5efe194_128,7c617208a5efe194,"[103.55, 205.34, 38.5, 26.07]",the,"[103.55, 216.1, 136.9, 205.34, 142.05, 220.35, 108.4, 231.41]",1003.7
297147,297147,92b398b811359bd3_5,92b398b811359bd3,"[290.49, 593.53, 276.58, 110.96]",Peak,"[292.12, 595.16, 565.44, 593.53, 567.07, 690.62, 290.49, 704.49]",30689.32
804437,804437,994472309540c13c_76,994472309540c13c,"[1014.15, 577.54, 9.88, 35.15]",.,"[1014.15, 578.0, 1024.03, 577.54, 1023.8, 612.69, 1014.84, 612.01]",347.28
203621,203621,c5e6496c3607904a_33,c5e6496c3607904a,"[696.34, 323.65, 64.54, 30.06]",Avocado,"[696.34, 336.03, 756.76, 323.65, 760.88, 341.93, 698.4, 353.71]",1940.07
849635,849635,c71c483cb52b0103_44,c71c483cb52b0103,"[663.32, 699.87, 38.34, 23.56]",into,"[664.13, 700.04, 701.33, 699.87, 701.66, 723.43, 663.32, 721.15]",903.29
754397,754397,1d066611264ad99e_428,1d066611264ad99e,"[839.68, 499.06, 15.5, 7.75]",from,"[839.68, 499.06, 855.18, 499.37, 855.03, 506.81, 839.99, 506.81]",120.12
855517,855517,5962ddb772e74b26_9,5962ddb772e74b26,"[268.07, 569.07, 35.25, 26.81]",IX,"[268.07, 595.88, 268.07, 595.88, 268.62, 569.07, 268.62, 569.07, 303.32, 569.8, 303.32, 569.8, 302.58, 595.69, 302.58, 595.69]",945.05
1038286,1038286,a3d5452fa04d2bfd_3,a3d5452fa04d2bfd,"[332.04, 726.8, 15.13, 8.83]",.,"[332.04, 727.68, 346.73, 726.8, 347.17, 734.86, 332.48, 735.63]",133.6
180106,180106,3543d31786d59169_187,3543d31786d59169,"[417.41, 488.01, 37.31, 14.51]",.,"[417.96, 488.01, 454.72, 491.6, 453.2, 502.52, 417.41, 499.2]",541.37
704696,704696,d122c1a6d715ed3e_192,d122c1a6d715ed3e,"[856.31, 326.95, 6.5, 9.26]",.,"[862.02, 326.95, 862.81, 335.42, 856.71, 336.21, 856.31, 327.15]",60.19
629323,629323,6d4f6f74dd7f10ca_14,6d4f6f74dd7f10ca,"[724.59, 702.55, 32.65, 22.9]",.,"[724.59, 711.8, 754.32, 702.55, 757.24, 716.68, 727.03, 725.45]",747.68
715759,715759,ef2984aa210590d0_34,ef2984aa210590d0,"[885.62, 258.32, 19.77, 9.89]",Half.,"[885.62, 258.64, 905.39, 258.32, 905.39, 267.57, 885.62, 268.21]",195.53
410482,410482,451b77f42c1fa936_600,451b77f42c1fa936,"[628.33, 527.18, 21.17, 11.09]",.,"[628.33, 527.18, 649.33, 527.18, 649.5, 537.76, 628.67, 538.27]",234.78
209967,209967,ae589341d44ddca9_43,ae589341d44ddca9,"[309.56, 675.02, 40.0, 6.0]",.,"[309.56, 675.02, 349.16, 675.32, 349.56, 680.72, 309.66, 681.02]",240.0
404674,404674,7fc91a49cfdde0fd_168,7fc91a49cfdde0fd,"[385.37, 746.75, 48.76, 14.63]",January5,"[386.93, 746.75, 434.13, 751.82, 432.57, 761.38, 385.37, 756.89]",713.36
296796,296796,c3034ee4c10494bd_3,c3034ee4c10494bd,"[293.51, 548.38, 9.05, 22.97]",&HALF,"[293.51, 571.21, 293.8, 548.67, 302.56, 548.38, 302.56, 571.35]",207.88
831675,831675,62e9f19a53a2f735_91,62e9f19a53a2f735,"[248.91, 138.52, 31.0, 10.62]",.,"[249.44, 138.52, 279.73, 140.44, 279.91, 149.14, 248.91, 147.05]",329.22
977426,977426,ef5b03d3ec810a0f_135,ef5b03d3ec810a0f,"[238.08, 597.89, 15.69, 11.96]",.,"[239.57, 597.89, 253.4, 597.89, 253.77, 609.85, 238.08, 609.85]",187.65
205679,205679,cead223e1b456e04_138,cead223e1b456e04,"[607.83, 331.98, 44.91, 10.22]",advantage,"[607.83, 331.98, 652.74, 332.32, 652.63, 341.74, 607.94, 342.2]",458.98
274345,274345,19887420a4d9d1c1_10,19887420a4d9d1c1,"[648.02, 222.83, 25.45, 21.46]",Comfort,"[648.02, 222.83, 672.97, 223.08, 673.47, 243.29, 648.27, 244.29]",546.16
193118,193118,0263a03829194424_1,0263a03829194424,"[626.38, 401.2, 32.9, 25.11]",Boat,"[633.31, 401.2, 659.28, 414.77, 653.51, 426.31, 626.38, 411.88]",826.12
1051612,1051612,b504a79c0089c108_217,b504a79c0089c108,"[379.93, 0.59, 228.31, 15.7]",.,"[379.93, 0.59, 606.67, 0.59, 608.24, 16.29, 380.98, 12.63]",3584.47
82906,82906,20aad2aa8c563f09_23,20aad2aa8c563f09,"[578.74, 548.62, 236.11, 136.22]",back,"[578.74, 654.57, 756.58, 548.62, 814.85, 604.62, 683.93, 684.84]",32162.9
850995,850995,4e50a5c4e9f9bcee_512,4e50a5c4e9f9bcee,"[536.66, 980.55, 18.1, 9.9]",Cord.,"[536.66, 980.55, 554.56, 980.95, 554.76, 990.45, 536.76, 989.95]",179.19
581734,581734,165cdd447fa22253_236,165cdd447fa22253,"[178.45, 594.38, 9.54, 10.68]",æ,"[178.45, 594.38, 187.99, 594.38, 187.99, 604.95, 178.45, 605.06]",101.89
1047927,1047927,a3fc51169744be4e_102,a3fc51169744be4e,"[656.6, 305.27, 46.18, 14.94]",.,"[656.6, 307.11, 702.09, 305.27, 702.78, 318.6, 657.06, 320.21]",689.93
589317,589317,6e6afdadfc4cb588_6,6e6afdadfc4cb588,"[102.31, 544.78, 73.31, 21.48]",groaning,"[102.31, 544.78, 175.08, 544.78, 175.62, 565.99, 102.31, 566.26]",1574.7
482116,482116,b250807bfdd2e8bf_4,b250807bfdd2e8bf,"[387.51, 323.73, 222.5, 29.53]",Fahrgastinformatio,"[389.03, 323.73, 608.73, 324.17, 610.01, 353.26, 387.51, 353.26]",6570.43
402283,402283,93509dee5121b0fe_2,93509dee5121b0fe,"[389.51, 372.64, 163.55, 175.38]",17,"[401.33, 372.64, 553.06, 377.9, 545.18, 548.02, 389.51, 542.76]",28683.4
1007834,1007834,0e0877cea293f60f_43,0e0877cea293f60f,"[522.67, 639.94, 9.8, 6.4]",.,"[522.67, 640.54, 532.47, 639.94, 532.47, 646.14, 523.27, 646.34]",62.72
792798,792798,b544836920f89c93_10,b544836920f89c93,"[616.28, 375.78, 394.69, 81.24]",Dynamics,"[616.28, 381.24, 1005.52, 375.78, 1010.97, 457.02, 617.49, 455.2]",32064.62
145542,145542,322452ee072dd8bb_33,322452ee072dd8bb,"[36.59, 420.32, 150.69, 27.71]",.,"[37.91, 420.32, 187.28, 430.88, 185.17, 448.03, 36.59, 438.27]",4175.62
227303,227303,49f33620c387e4fb_12,49f33620c387e4fb,"[245.74, 641.86, 26.37, 20.32]",ON,"[245.74, 642.32, 271.96, 641.86, 272.11, 662.18, 245.74, 661.57]",535.84
685772,685772,d4bda20817a4594d_18,d4bda20817a4594d,"[457.63, 183.92, 74.09, 56.34]",WHAT,"[474.12, 183.92, 531.72, 218.52, 513.79, 240.26, 457.63, 204.21]",4174.23
168816,168816,e250c96f744659d2_7,e250c96f744659d2,"[227.55, 679.53, 49.57, 42.54]",WALL'S,"[232.75, 679.53, 277.12, 703.1, 268.25, 722.07, 227.55, 694.53]",2108.71
270243,270243,7dcbec51837ac092_39,7dcbec51837ac092,"[111.86, 549.78, 12.19, 13.02]",N,"[112.49, 549.78, 124.05, 549.99, 124.05, 562.59, 111.86, 562.8]",158.71
161500,161500,d1e54588359cbcba_828,d1e54588359cbcba,"[229.84, 533.39, 7.5, 6.0]",.,"[229.84, 533.39, 237.04, 533.39, 237.34, 539.19, 230.04, 539.39]",45.0
154251,154251,00d457b6a730342a_42,00d457b6a730342a,"[809.17, 501.5, 23.56, 15.6]",.,"[809.17, 506.91, 829.86, 501.5, 832.73, 511.69, 811.39, 517.1]",367.54
224664,224664,0040f82025f05b6c_575,0040f82025f05b6c,"[370.34, 788.37, 5.5, 8.8]",.,"[370.34, 790.47, 375.74, 788.37, 375.84, 795.67, 370.44, 797.17]",48.4
496685,496685,39afd5154644d237_27,39afd5154644d237,"[343.95, 486.52, 87.81, 32.06]",.,"[343.95, 486.52, 431.76, 486.52, 431.53, 518.58, 343.95, 518.35]",2815.19
433748,433748,65e49960e1b3d899_35,65e49960e1b3d899,"[530.27, 43.38, 104.7, 27.12]",PHONE,"[530.27, 45.41, 634.46, 43.38, 634.97, 69.24, 530.27, 70.5]",2839.46
806701,806701,00d96598f45536e8_23,00d96598f45536e8,"[601.93, 154.25, 55.32, 18.5]",BLU-RAY,"[602.79, 154.25, 657.25, 155.62, 657.08, 172.75, 601.93, 172.41]",1023.42
527522,527522,67a8570019208495_37,67a8570019208495,"[793.03, 771.79, 33.55, 24.49]",.,"[793.03, 788.65, 817.2, 771.79, 826.58, 778.63, 804.32, 796.28]",821.64
267153,267153,7b59a51f0d2deb44_564,7b59a51f0d2deb44,"[570.73, 457.56, 4.98, 3.83]",.,"[573.03, 457.56, 575.71, 459.28, 574.18, 461.39, 570.73, 459.28]",19.07
25405,25405,007a0eaa8594488c_1,007a0eaa8594488c,"[373.27, 224.21, 28.35, 12.31]",Sugar,"[373.27, 225.53, 401.4, 224.21, 401.62, 235.2, 373.27, 236.52]",348.99
699820,699820,c4a5eaf531603c1e_22,c4a5eaf531603c1e,"[647.22, 432.25, 22.87, 14.42]",Ask,"[647.38, 432.75, 670.09, 432.25, 669.26, 446.01, 647.22, 446.67]",329.79
169153,169153,469266d2e67b113c_6,469266d2e67b113c,"[529.7, 306.28, 25.19, 14.59]",TE,"[529.7, 306.28, 554.89, 307.61, 554.89, 320.87, 534.34, 320.87]",367.52
522662,522662,1acd6424ebcadb31_364,1acd6424ebcadb31,"[721.33, 493.88, 31.93, 8.05]",herriosas.,"[721.33, 493.88, 753.13, 494.02, 753.26, 501.93, 721.46, 501.8]",257.04
444743,444743,4f80bad7e3a0ea2a_56,4f80bad7e3a0ea2a,"[513.24, 587.84, 30.34, 19.71]",DRAFT,"[513.24, 600.02, 541.15, 587.84, 543.58, 594.48, 515.23, 607.55]",598.0
325520,325520,da5be001bb696c2f_13,da5be001bb696c2f,"[520.26, 244.17, 22.55, 11.92]",20,"[520.26, 244.32, 542.23, 244.17, 542.81, 255.66, 520.41, 256.09]",268.8
432657,432657,4fcd59e4b3ecd059_39,4fcd59e4b3ecd059,"[682.61, 521.14, 30.56, 37.47]",#,"[685.56, 522.13, 710.21, 521.14, 713.17, 557.62, 682.61, 558.61]",1145.08
651477,651477,51afa6b61a2e4a73_4,51afa6b61a2e4a73,"[288.3, 19.01, 58.5, 24.51]",TALES,"[288.3, 19.01, 345.22, 19.54, 346.8, 43.52, 289.61, 42.99]",1433.84
931803,931803,00f89566491302ff_1,00f89566491302ff,"[428.99, 202.89, 87.37, 88.06]",12,"[428.99, 243.92, 500.22, 202.89, 516.36, 272.74, 435.68, 290.95]",7693.8
872441,872441,74a1450589d5bb2a_185,74a1450589d5bb2a,"[682.14, 615.32, 67.44, 46.07]",and,"[682.14, 631.97, 738.76, 615.32, 749.58, 648.35, 689.91, 661.39]",3106.96
427873,427873,1421331dea758b67_46,1421331dea758b67,"[712.65, 152.35, 170.49, 150.38]",.,"[726.06, 152.35, 880.27, 226.11, 883.14, 302.73, 712.65, 228.02]",25638.29
1036716,1036716,9b730c57d5231e0d_34,9b730c57d5231e0d,"[830.5, 607.89, 47.72, 15.18]",COSMETICS,"[830.5, 607.89, 839.54, 608.97, 849.3, 609.7, 856.17, 611.14, 863.03, 612.47, 869.42, 615.0, 877.85, 617.17, 878.22, 623.07, 868.58, 620.66, 862.31, 619.34, 855.68, 617.53, 848.58, 616.08, 839.42, 615.24, 830.62, 614.03]",724.39
800541,800541,a12f027097f56a9f_158,a12f027097f56a9f,"[800.84, 109.17, 40.42, 14.39]",2003,"[801.4, 109.17, 839.6, 109.17, 841.26, 120.8, 800.84, 123.56]",581.64
628316,628316,c98fc36d173fc4dd_77,c98fc36d173fc4dd,"[155.35, 324.34, 41.43, 12.53]",.,"[156.4, 324.34, 196.78, 324.47, 196.52, 336.61, 155.35, 336.87]",519.12
249102,249102,2390f417e6a7756e_170,2390f417e6a7756e,"[688.87, 292.14, 11.71, 9.44]",all,"[689.07, 292.75, 700.58, 292.14, 700.58, 301.58, 688.87, 301.38]",110.54
76623,76623,ad7342710bfad0d0_55,ad7342710bfad0d0,"[376.43, 29.06, 18.72, 68.09]",.,"[391.75, 29.06, 395.15, 97.15, 379.27, 97.15, 376.43, 29.62]",1274.64
750943,750943,204ea8870d76a485_3,204ea8870d76a485,"[496.8, 989.52, 162.18, 19.61]",LosMocanos.com,"[497.64, 989.52, 658.7, 991.2, 658.98, 1009.13, 496.8, 1007.73]",3180.35
51645,51645,982af92fe73972fb_83,982af92fe73972fb,"[433.24, 530.8, 11.29, 13.55]",5,"[433.89, 531.13, 444.53, 530.8, 444.53, 544.02, 433.24, 544.35]",152.98
421699,421699,8a73972565a0ea2a_40,8a73972565a0ea2a,"[378.37, 623.83, 16.7, 10.5]",.,"[378.37, 623.83, 395.07, 623.83, 394.97, 634.33, 378.37, 634.23]",175.35
700952,700952,01c17e2aff64922d_20,01c17e2aff64922d,"[388.62, 410.08, 17.26, 28.85]",2,"[388.91, 410.08, 405.88, 410.08, 405.59, 438.93, 388.62, 438.93]",497.95
232851,232851,88e3576076987845_793,88e3576076987845,"[354.5, 791.54, 54.0, 12.9]",cadeautjes,"[354.6, 791.54, 407.8, 791.54, 408.5, 804.44, 354.5, 803.14]",696.6
407754,407754,d9448dcf0ecadc2a_20,d9448dcf0ecadc2a,"[242.9, 274.42, 18.66, 8.71]",16-17,"[242.9, 274.42, 261.56, 274.42, 261.56, 283.13, 242.9, 283.13]",162.53
974987,974987,859edf656eb4cf28_35,859edf656eb4cf28,"[166.29, 184.06, 33.6, 19.0]",me,"[169.69, 184.06, 199.89, 191.46, 196.69, 203.06, 166.29, 195.26]",638.4
49945,49945,e42e53eaaad225ec_36,e42e53eaaad225ec,"[424.19, 378.01, 27.58, 17.7]",wijn,"[424.19, 378.01, 451.45, 378.65, 451.77, 395.55, 424.67, 395.71]",488.17
354043,354043,49f3463a0b7d86ac_5,49f3463a0b7d86ac,"[218.45, 195.16, 17.77, 49.96]",.,"[218.45, 195.16, 236.22, 202.19, 236.22, 245.12, 218.45, 240.67]",887.79
950501,950501,c37d23fc28080322_103,c37d23fc28080322,"[129.63, 435.99, 9.43, 11.23]",1,"[129.63, 435.99, 136.84, 436.09, 139.06, 446.69, 131.11, 447.22]",105.9
